,acc,prec_macro,prec_micro,prec_wht,recall_macro,recall_micro,recall_wht,f1_macro,f1_micro,f1_wht
xgBoostLSTM0Layer_2,0.8950244698205546,0.8823688415725511,0.8950244698205546,0.9027484261233164,0.9021377062387004,0.8950244698205546,0.8950244698205546,0.8893841590913923,0.8950244698205546,0.8963432297108397
xgBoostLSTM1Layer_2,0.7276858541132604,0.7597164035194119,0.7276858541132604,0.8110950722636148,0.7730780341692137,0.7276858541132604,0.7276858541132604,0.7269344026244915,0.7276858541132605,0.7309253411177077
xgBoostLSTM2Layer_2,0.7358308086693078,0.7396371149480157,0.7358308086693078,0.7801936136663317,0.7596258244951637,0.7358308086693078,0.7358308086693078,0.7315534237364367,0.7358308086693078,0.7409942317992952
xgBoostLSTM3Layer_2,0.7073525984618969,0.7129950818524841,0.7073525984618969,0.7540766220074583,0.7305812612426474,0.7073525984618969,0.7073525984618969,0.7030645962878768,0.7073525984618969,0.7130060422280323
xgBoostLSTM4Layer_2,0.7046492659053833,0.7115646315152386,0.7046492659053833,0.7531089510458012,0.7288752544147988,0.7046492659053833,0.7046492659053833,0.7006127102537055,0.7046492659053833,0.7102980133778019
xgBoostLSTM5Layer_2,0.7307504078303426,0.7261802214726537,0.7307504078303426,0.7627999117582908,0.7449176531938579,0.7307504078303426,0.7307504078303426,0.7239736121559794,0.7307504078303425,0.7360233767558174
xgBoostLSTM6Layer_2,0.5852132370076906,0.5674873908383424,0.5852132370076906,0.6037365340053894,0.5718086565484011,0.5852132370076906,0.5852132370076906,0.5665650907430061,0.5852132370076906,0.5916129631764989
xgBoostLSTM7Layer_2,0.6393031927289676,0.3196515963644838,0.6393031927289676,0.4087085722334515,0.5,0.6393031927289676,0.6393031927289676,0.3899847176315883,0.6393031927289676,0.4986369501947587
xgBoostLSTM0Layer_4,0.8258914006059194,0.6756536826245411,0.8258914006059194,0.8312858773932307,0.6888381398308628,0.8258914006059194,0.8258914006059194,0.6797569442207152,0.8258914006059194,0.8272679437448927
xgBoostLSTM1Layer_4,0.7812164996504312,0.5999681757679222,0.7812164996504312,0.7916982936616422,0.6083594697728649,0.7812164996504312,0.7812164996504312,0.5849977213747711,0.7812164996504312,0.7789765465504419
xgBoostLSTM2Layer_4,0.7362153344208809,0.568425683786542,0.7362153344208809,0.7780202835078581,0.5622579746043725,0.7362153344208809,0.7362153344208809,0.5343149470690517,0.7362153344208809,0.7468078457885603
xgBoostLSTM3Layer_4,0.7464810067583314,0.5497472170931952,0.7464810067583314,0.7602063726344986,0.56227265124805,0.7464810067583314,0.7464810067583314,0.5387590144869518,0.7464810067583314,0.7475404479403455
xgBoostLSTM4Layer_4,0.7391750174784433,0.5352920536339881,0.7391750174784433,0.7459944896826267,0.5425808540651199,0.7391750174784433,0.7391750174784433,0.5165656826648561,0.7391750174784433,0.7337421190381715
xgBoostLSTM5Layer_4,0.7465159636448381,0.544797232145307,0.7465159636448381,0.7481814690631485,0.5439649837147877,0.7465159636448381,0.7465159636448381,0.5228046513397557,0.7465159636448381,0.7386534399440253
xgBoostLSTM6Layer_4,0.7476462363085528,0.544458909514763,0.7476462363085528,0.7451073109937144,0.5392352158161431,0.7476462363085528,0.7476462363085528,0.5193170521457395,0.7476462363085528,0.7365366483626211
xgBoostLSTM7Layer_4,0.7575390351899324,0.5542087551257691,0.7575390351899324,0.7507988901987225,0.5366610283242508,0.7575390351899324,0.7575390351899324,0.5239391496218263,0.7575390351899324,0.7432961117267086
xgBoostLSTM0Layer_6,0.6249825215567467,0.3799084999378719,0.6249825215567467,0.699545141721177,0.3924574166684102,0.6249825215567467,0.6249825215567467,0.31833951073127625,0.6249825215567467,0.6301452816399737
xgBoostLSTM1Layer_6,0.5464693544628292,0.3179193897956015,0.5464693544628292,0.6980534304150608,0.400469848694428,0.5464693544628292,0.5464693544628292,0.29634254545553285,0.5464693544628292,0.5837074072823634
xgBoostLSTM2Layer_6,0.6940223724073642,0.3813674864346801,0.6940223724073642,0.6258213138059637,0.32119137878230297,0.6940223724073642,0.6940223724073642,0.2802482456621005,0.6940223724073642,0.6212042385715326
xgBoostLSTM3Layer_6,0.6880913539967374,0.34270977145138515,0.6880913539967374,0.6013574279379612,0.3125221561645428,0.6880913539967374,0.6880913539967374,0.2669201259479494,0.6880913539967374,0.6138746286345965
xgBoostLSTM4Layer_6,0.6904101608016779,0.3784616948348672,0.6904101608016779,0.6161275355326185,0.3178526772109059,0.6904101608016779,0.6904101608016779,0.2709097063881228,0.6904101608016779,0.6144113732841652
xgBoostLSTM5Layer_6,0.6877301328361687,0.3559622492972481,0.6877301328361687,0.6095074025033478,0.332048079345967,0.6877301328361687,0.6877301328361687,0.2560384327966204,0.6877301328361687,0.611290691089531
xgBoostLSTM6Layer_6,0.6814961547424843,0.3439133505881227,0.6814961547424843,0.5991435477265036,0.31767156562153565,0.6814961547424843,0.6814961547424843,0.24015582690846235,0.6814961547424843,0.5985792791838419
xgBoostLSTM7Layer_6,0.67963178746213,0.3546731242702683,0.67963178746213,0.6025784673619154,0.31575900508453275,0.67963178746213,0.67963178746213,0.2389297547165048,0.67963178746213,0.5951962209620794
xgBoostLSTM0Layer_8,0.7173735725938009,0.3640317383226274,0.7173735725938009,0.7224220787424719,0.3486077964327801,0.7173735725938009,0.7173735725938009,0.3375743873901162,0.7173735725938009,0.7074797248089668
xgBoostLSTM1Layer_8,0.6951409927755768,0.27426325264910384,0.6951409927755768,0.7064494712068652,0.27556798273331273,0.6951409927755768,0.6951409927755768,0.2642118499627189,0.6951409927755768,0.694089835464151
xgBoostLSTM2Layer_8,0.6880680494057329,0.2920266617784548,0.6880680494057329,0.7138768461469285,0.2920877053879536,0.6880680494057329,0.6880680494057329,0.2830115520294513,0.6880680494057329,0.695543613760346
xgBoostLSTM3Layer_8,0.7345723607550687,0.2712965514987322,0.7345723607550687,0.6896927385281628,0.26270152343215103,0.7345723607550687,0.7345723607550687,0.2491238463951488,0.7345723607550687,0.7000834900784364
xgBoostLSTM4Layer_8,0.634747145187602,0.2652027326692678,0.634747145187602,0.6796259853538555,0.25146314412866905,0.634747145187602,0.634747145187602,0.2323669185604305,0.634747145187602,0.6354315726091655
xgBoostLSTM5Layer_8,0.6156839897459799,0.25492501096314585,0.6156839897459799,0.6690744863079899,0.2439808903942905,0.6156839897459799,0.6156839897459799,0.22424868470893344,0.6156839897459799,0.6199106969997255
xgBoostLSTM6Layer_8,0.5983453740386856,0.2371758335044164,0.5983453740386856,0.6579851194715415,0.23422448470676285,0.5983453740386856,0.5983453740386856,0.2115798914275068,0.5983453740386856,0.6046293450305138
xgBoostLSTM7Layer_8,0.658552784898625,0.24641524441407164,0.658552784898625,0.6583514900609517,0.23973890052103114,0.658552784898625,0.658552784898625,0.22197270115028428,0.658552784898625,0.6428599035304803
