,acc,prec_macro,recall_macro,f1_macro
MLPSimpleLayers_2,0.9328456678714456,0.9480237522780873,0.9177818363549406,0.9262811892064683
AdvSimpleLayers_2,0.9367857666831948,0.9497122927412459,0.922759914941039,0.9308294611304446
WhtSimpleLayers_2,0.9312659267370761,0.9471429324018876,0.9159604161165521,0.9244512499385701
QVKSimpleLayers_2,0.9238984852851252,0.9340056277293294,0.9119082486423306,0.9183537913101666
LSTMSimpleLayers_2,0.9358938480112527,0.9432178766648701,0.9233424273368586,0.930254723379266
TransformerSimpleLayers_2,0.9313981396436378,0.9404813513680779,0.9182918036590789,0.9252140198094597
rotationForest_2,0.9469535674526876,0.9448374513861767,0.9435240028260656,0.9439717093530456
randomForest_2,0.9673692619009872,0.9688451075025495,0.962832335614023,0.9653537862230813
xgBoost_2,0.9688404309369493,0.9706304631304872,0.9642635327994536,0.9669817271745368
lightGBM_2,0.9681932077295036,0.969877747026097,0.9636120060690349,0.9662288422016028
deepForest_2,0.9673796942700593,0.9692517263359647,0.9625399276149239,0.9653126928910147
deepForestCost_2,0.0,0.0,0.0,0.0
xgBoostAdv0LayerSimpleLayers_2,0.9029337945499494,0.9047886344834556,0.9124230735940738,0.9008604279454261
xgBoostLSTM0Layer_2,0.9176053184938002,0.915106442112852,0.9228238798394813,0.9152960844615382
xgBoostLSTM0LayerSimpleLayers_2,0.9237447441533794,0.9198659378325597,0.9289444234203504,0.9215171102110374
MLPSimpleLayers_4,0.8281016198783778,0.6929826170451042,0.6202929927252755,0.6205698366435425
AdvSimpleLayers_4,0.826451760233685,0.7093440894286721,0.6510338894428467,0.6564345727699342
WhtSimpleLayers_4,0.8210578510689963,0.6238720097872706,0.6060366779448759,0.59718097211338
QVKSimpleLayers_4,0.7912807765938884,0.7115164846012867,0.5962446461846881,0.5900950023993413
LSTMSimpleLayers_4,0.8141300354030921,0.6271692410535746,0.6375502032941439,0.5873097504672572
TransformerSimpleLayers_4,0.8358098010298761,0.7274158304722153,0.7206924228939928,0.6916548754109811
rotationForest_4,0.8448153318823303,0.730580548860289,0.7414981304850855,0.7291514866558267
randomForest_4,0.8793144669011842,0.785090620990417,0.7937023381864715,0.7798042722641757
xgBoost_4,0.8805397535549654,0.7862265252661667,0.7946156671656978,0.7797069242265943
lightGBM_4,0.8799252749020282,0.7863357838678712,0.793685106198839,0.7795371679684235
deepForest_4,0.880085130202398,0.7849481402727827,0.7941265156139824,0.7799641353083135
deepForestCost_4,0.8787808058574486,0.7820514414323695,0.7874347580446335,0.775091520172182
xgBoostAdv0LayerSimpleLayers_4,0.846607061848236,0.7799117055333976,0.7888062730305719,0.7671729871475012
xgBoostLSTM0Layer_4,0.8770807351917704,0.7844022937234175,0.7958910063088381,0.7850483661169019
xgBoostLSTM0LayerSimpleLayers_4,0.8568746925120255,0.7858664694093885,0.8168035261043937,0.7824349607017638
MLPSimpleLayers_6,0.7468484981028212,0.4120480314784775,0.41180783537617577,0.3787172358254988
AdvSimpleLayers_6,0.7440566541727972,0.4324146836479854,0.440105201216687,0.4065518828148606
WhtSimpleLayers_6,0.7506833323342431,0.44402192406458313,0.4629637323736329,0.42178718345112026
QVKSimpleLayers_6,0.7286057501204355,0.47733896776352935,0.41933411025975714,0.38306816561604934
LSTMSimpleLayers_6,0.7491934489125184,0.4567983927770256,0.45342460640850346,0.4297032011445973
TransformerSimpleLayers_6,0.750908358782473,0.41842987383434854,0.4206902935765578,0.3882537979804958
rotationForest_6,0.811497459166075,0.6251288366376314,0.6301525219856229,0.617412812481234
randomForest_6,0.8436070244708511,0.6643748206462531,0.6680610638110421,0.6513869370185534
xgBoost_6,0.8491928932878766,0.6678212488260837,0.6640721104254169,0.6510974399145547
lightGBM_6,0.8454774968473208,0.6631147521926877,0.6629502574581138,0.6496532189882124
deepForest_6,0.8414605167006997,0.6604256153260345,0.6629755331115992,0.6458295403913524
deepForestCost_6,0.8426527566376721,0.6627095833372965,0.6664644510197101,0.6492087068881629
xgBoostAdv0LayerSimpleLayers_6,0.8145069446060679,0.6853362593459842,0.6854707014802904,0.6492206987244887
xgBoostLSTM0Layer_6,0.81649489977418,0.6852434597761317,0.6974958643042583,0.6692411855023813
xgBoostLSTM0LayerSimpleLayers_6,0.8098836282144845,0.6632780549147405,0.6710085512144931,0.6427250321600074
MLPSimpleLayers_8,0.7304336230869722,0.3246095196407027,0.3504540361054664,0.3103540427980884
AdvSimpleLayers_8,0.7420039533011112,0.40750400628635725,0.38681754820922637,0.3731069831924813
WhtSimpleLayers_8,0.7403340141812936,0.44079199075201975,0.41342495847486843,0.39090964921930654
QVKSimpleLayers_8,0.7091984742567815,0.3193639214607185,0.3444054086978195,0.29791696367277587
LSTMSimpleLayers_8,0.725612564720142,0.3418085286119034,0.3445589030256851,0.3091555179279826
TransformerSimpleLayers_8,0.7455228727808247,0.4016906421673028,0.39254250009938046,0.3677123642652142
rotationForest_8,0.7924952749165834,0.5534715251368666,0.548859833152207,0.5447399789198485
randomForest_8,0.8238987781665763,0.5799916231197081,0.5750479712651932,0.5668160668269406
xgBoost_8,0.831004732631044,0.5864348404024409,0.5834425461089651,0.5732488678344086
lightGBM_8,0.8276027076449624,0.5813125866896517,0.580485671986267,0.5707865708582044
deepForest_8,0.8244511615050015,0.5813373941375938,0.5824121599486075,0.5711113833881473
deepForestCost_8,0.8267147716742071,0.5839225738312925,0.5830371749741262,0.5738596280918635
xgBoostAdv0LayerSimpleLayers_8,0.7883461386889336,0.5868900076027327,0.5830338597767079,0.5582449532785566
xgBoostLSTM0Layer_8,0.8173550350376392,0.6062388743518445,0.6036588699556246,0.5942250700091817
xgBoostLSTM0LayerSimpleLayers_8,0.7794954279628549,0.6057760119647362,0.5919454242101799,0.5674695825895729
